0.004857,0.003443,0.771039,-0.018296,-0.043844,0.091250,0.994694,-0.198031,0.136327,0.082150,0.004985,-0.161243,-0.010926,0.035018,0.180660,-0.017825,0.207217,-0.176186,0.017271,-0.108410,0.129139,0.247061,-0.174256,0.258379,-0.002995,1.200455,0.993867,0.144595,-0.616598,-0.654007,-0.035179,0.257498,0.811293,-1.244114,-0.747594,-0.189819
0.003725,-0.005502,0.771148,-0.014936,-0.041508,0.099474,0.994062,-0.190078,0.133689,0.104583,0.005604,-0.141291,-0.010348,0.011155,0.173620,-0.032252,0.207496,-0.184317,0.015308,-0.112124,0.125810,0.237759,-0.176548,0.247673,-0.028346,1.194258,1.045943,0.126558,-0.648689,-0.635934,-0.019994,0.225498,0.861108,-1.312063,-0.730436,-0.286088
0.001498,-0.016455,0.772558,-0.013188,-0.037363,0.107845,0.993378,-0.170416,0.130377,0.119171,0.006976,-0.110348,-0.010861,-0.015447,0.169327,-0.044050,0.198705,-0.182251,0.016162,-0.119897,0.122980,0.223370,-0.171826,0.240985,-0.048781,1.177663,1.072016,0.124413,-0.677391,-0.587897,-0.025229,0.198760,0.842989,-1.282681,-0.733223,-0.264433
-0.002039,-0.028393,0.775922,-0.011603,-0.029584,0.120598,0.992193,-0.119413,0.126935,0.138150,0.010906,-0.049207,-0.007126,-0.049794,0.159441,-0.067693,0.193070,-0.179998,0.017422,-0.142219,0.118823,0.200907,-0.167649,0.237274,-0.056454,1.165664,1.099601,0.132597,-0.683982,-0.519924,-0.039855,0.189344,0.807328,-1.233844,-0.730769,-0.208414
-0.007413,-0.039574,0.780325,-0.007483,-0.021063,0.133876,0.990746,-0.069323,0.124082,0.158084,0.018539,0.000825,0.003542,-0.080085,0.142001,-0.090965,0.184270,-0.179272,0.019369,-0.165542,0.108581,0.171871,-0.166201,0.237499,-0.065119,1.165394,1.118157,0.136410,-0.678081,-0.449547,-0.049858,0.191053,0.792593,-1.174147,-0.693396,-0.109431
-0.013839,-0.050039,0.792689,0.001871,-0.012509,0.146707,0.989099,-0.027382,0.117930,0.181601,0.036676,0.039522,0.023350,-0.106521,0.111377,-0.109203,0.172203,-0.178050,0.023096,-0.189623,0.086453,0.141603,-0.170116,0.240793,-0.072772,1.172936,1.099333,0.137175,-0.663978,-0.373721,-0.055246,0.191791,0.793839,-1.128177,-0.620675,0.039130
-0.020715,-0.060260,0.799490,0.015096,-0.004479,0.158014,0.987311,0.014458,0.103031,0.199777,0.078247,0.068927,0.046575,-0.129753,0.073313,-0.117454,0.157676,-0.172323,0.026921,-0.214250,0.055866,0.114988,-0.183896,0.243261,-0.073426,1.186752,1.060386,0.147929,-0.647814,-0.293977,-0.062033,0.178697,0.804402,-1.098016,-0.489027,0.281642
-0.026991,-0.070882,0.800218,0.027725,0.000600,0.166688,0.985620,0.048150,0.086241,0.206367,0.154561,0.079889,0.064356,-0.145128,0.033578,-0.130457,0.142381,-0.164267,0.029630,-0.233737,0.025034,0.095798,-0.202953,0.246604,-0.074147,1.196182,1.024158,0.159818,-0.633785,-0.232003,-0.065222,0.145440,0.838586,-1.112835,-0.312233,0.541440
-0.031435,-0.081903,0.794583,0.036100,0.002217,0.171025,0.984603,0.072688,0.081357,0.206495,0.262323,0.068985,0.077117,-0.157906,0.007840,-0.131417,0.126853,-0.153106,0.033837,-0.244354,0.001792,0.080475,-0.223502,0.249249,-0.081593,1.206547,0.997416,0.165853,-0.611436,-0.180324,-0.067495,0.094274,0.903325,-1.176223,-0.150759,0.715051
-0.034742,-0.093519,0.788052,0.037589,0.001927,0.173051,0.984193,0.098353,0.083042,0.194378,0.328708,0.058866,0.077645,-0.169744,0.002489,-0.128582,0.106299,-0.139013,0.034702,-0.254320,-0.008552,0.071566,-0.242111,0.253406,-0.085608,1.206133,0.987812,0.168266,-0.599794,-0.138178,-0.076738,0.028194,1.011277,-1.269922,-0.014853,0.780369
-0.053219,-0.096976,0.786563,0.034718,0.001127,0.176945,0.983608,0.137664,0.081335,0.167811,0.324127,0.062238,0.065250,-0.184603,0.003718,-0.136438,0.086341,-0.125902,0.032704,-0.269231,-0.010653,0.065783,-0.256751,0.258392,-0.083381,1.194703,0.981520,0.162901,-0.595221,-0.095236,-0.091107,-0.012033,1.103282,-1.336053,0.077397,0.719935
-0.068387,-0.099518,0.785201,0.032925,-0.000240,0.179885,0.983136,0.165509,0.078560,0.150601,0.305899,0.057855,0.055704,-0.194967,0.003556,-0.141403,0.070704,-0.117694,0.030630,-0.281997,-0.016738,0.058293,-0.264118,0.265675,-0.080100,1.171745,0.965988,0.149664,-0.598555,-0.042259,-0.100684,-0.041923,1.175396,-1.376280,0.172593,0.580965
-0.089746,-0.101884,0.790178,0.021749,-0.001753,0.187775,0.981970,0.229399,0.084150,0.122315,0.181720,0.075092,0.040514,-0.222205,0.012140,-0.171529,0.067986,-0.113480,0.025521,-0.302373,-0.004486,0.054442,-0.272148,0.273210,-0.078051,1.144530,0.946030,0.140712,-0.608397,0.013679,-0.108435,-0.082769,1.217307,-1.379062,0.276170,0.419068
-0.109676,-0.103622,0.791240,0.024252,-0.004415,0.189412,0.981588,0.226610,0.068231,0.101482,0.219825,0.006331,0.039153,-0.237163,-0.003173,-0.178887,0.058965,-0.107265,0.024630,-0.309902,-0.017357,0.056334,-0.285623,0.277946,-0.071784,1.121122,0.916547,0.127266,-0.606393,0.056408,-0.116819,-0.121320,1.226958,-1.345678,0.317998,0.329213
-0.139978,-0.106175,0.782286,0.032351,-0.008177,0.189322,0.981348,0.182095,0.031281,0.071376,0.352533,-0.113816,0.048634,-0.260381,-0.030938,-0.172847,0.046438,-0.093619,0.024317,-0.315938,-0.041729,0.063236,-0.299014,0.281841,-0.058059,1.100195,0.890397,0.120197,-0.601443,0.087907,-0.124142,-0.145277,1.210236,-1.297730,0.308699,0.323435
-0.175552,-0.105865,0.772839,0.036958,-0.012711,0.188926,0.981213,0.139377,-0.006380,0.050323,0.465144,-0.220364,0.059568,-0.292883,-0.059878,-0.172537,0.035839,-0.078805,0.021289,-0.321379,-0.060541,0.076772,-0.312071,0.284517,-0.039578,1.081368,0.868102,0.115131,-0.594372,0.109333,-0.128647,-0.158860,1.180557,-1.253727,0.263298,0.375293
-0.207696,-0.103424,0.765967,0.033076,-0.015673,0.189427,0.981212,0.166197,-0.033141,0.051285,0.353378,-0.214090,0.062716,-0.330725,-0.082724,-0.191879,0.030878,-0.081359,0.009455,-0.334491,-0.062263,0.086547,-0.316883,0.283428,-0.016093,1.070285,0.838001,0.113761,-0.577308,0.113575,-0.130734,-0.157617,1.153546,-1.243346,0.215045,0.437500
-0.239721,-0.098220,0.767778,0.031958,-0.021312,0.185893,0.981819,0.175850,-0.055715,0.061279,0.290962,-0.230416,0.049441,-0.372715,-0.123367,-0.217213,0.027847,-0.109726,-0.009995,-0.348007,-0.072954,0.100485,-0.313568,0.288767,0.006891,1.072383,0.806596,0.117572,-0.558509,0.100021,-0.128616,-0.148064,1.135080,-1.258763,0.164763,0.488177
-0.267192,-0.084102,0.766952,0.034754,-0.028283,0.179294,0.982775,0.176684,-0.076183,0.077542,0.263946,-0.247280,0.035898,-0.385140,-0.156366,-0.228479,0.028159,-0.143047,-0.014485,-0.350527,-0.095541,0.123444,-0.309145,0.298338,0.020425,1.075616,0.788504,0.126969,-0.548120,0.065127,-0.111379,-0.164913,1.121706,-1.293198,0.125189,0.509362
-0.291174,-0.086103,0.763567,0.039678,-0.033046,0.173921,0.983405,0.155784,-0.091278,0.095522,0.278121,-0.274562,0.022482,-0.386388,-0.192968,-0.219084,0.028501,-0.184713,-0.013303,-0.350798,-0.122070,0.141516,-0.304184,0.309948,0.026346,1.094761,0.788177,0.135055,-0.547946,0.028146,-0.083330,-0.197721,1.105478,-1.317167,0.092769,0.517742
-0.318693,-0.088680,0.764881,0.039346,-0.034826,0.166804,0.984589,0.135819,-0.098301,0.110801,0.254758,-0.264923,0.018568,-0.366332,-0.196840,-0.191247,0.021504,-0.198205,-0.007421,-0.352714,-0.134588,0.142089,-0.287536,0.327534,0.024200,1.144997,0.794728,0.136432,-0.540341,0.009892,-0.057201,-0.191985,1.083169,-1.297511,0.058197,0.523579
-0.348675,-0.092644,0.766678,0.036062,-0.037719,0.153243,0.986810,0.115242,-0.095648,0.134633,0.228555,-0.247429,0.018601,-0.325835,-0.175190,-0.176671,0.010293,-0.175452,-0.004949,-0.342155,-0.137708,0.143327,-0.262431,0.341768,0.024403,1.202853,0.831080,0.165645,-0.537345,0.004178,-0.039454,-0.141620,1.057016,-1.264490,0.036281,0.521008
-0.371039,-0.096392,0.768231,0.031352,-0.039801,0.137753,0.989170,0.099573,-0.084466,0.161787,0.209345,-0.232844,0.017955,-0.295707,-0.149877,-0.171369,0.006489,-0.155035,-0.003575,-0.321432,-0.133462,0.150172,-0.229594,0.343545,0.036291,1.249118,0.878909,0.202663,-0.528631,-0.006410,-0.029182,-0.089550,1.024518,-1.248703,0.013398,0.512656
-0.397730,-0.101034,0.767263,0.024059,-0.036835,0.118265,0.992007,0.066994,-0.065458,0.198962,0.195211,-0.236387,0.012781,-0.246407,-0.121659,-0.191827,0.016025,-0.113326,0.002232,-0.299175,-0.121510,0.155580,-0.195241,0.341539,0.064921,1.287919,0.917702,0.239376,-0.525364,-0.032725,-0.022615,-0.043082,0.987316,-1.256015,-0.026948,0.500122
-0.424558,-0.107715,0.765237,0.013376,-0.030833,0.099481,0.994472,0.027385,-0.034997,0.234186,0.180558,-0.245969,0.011418,-0.202431,-0.087187,-0.189521,0.034989,-0.050707,0.009951,-0.278798,-0.100057,0.154149,-0.155073,0.338093,0.084160,1.316848,0.936656,0.272503,-0.541486,-0.066984,-0.018137,-0.018158,0.961849,-1.259310,-0.066661,0.493939
-0.449443,-0.115084,0.767622,-0.008716,-0.023478,0.079399,0.996528,-0.011878,0.025747,0.264128,0.160370,-0.246763,0.006483,-0.148904,-0.032625,-0.157582,0.119639,0.011771,0.003558,-0.253906,-0.053305,0.150567,-0.118774,0.338548,0.086209,1.346567,0.943352,0.280707,-0.553092,-0.102020,-0.014590,-0.006322,0.939496,-1.242714,-0.099808,0.498844
-0.473022,-0.124757,0.794098,-0.014054,-0.019718,0.064697,0.997611,-0.042787,0.053103,0.292276,0.147724,-0.250003,0.004840,-0.053491,-0.032712,-0.135978,0.148684,0.072061,-0.007229,-0.237727,-0.039083,0.142451,-0.082653,0.338855,0.082497,1.360588,0.973418,0.292579,-0.577155,-0.131413,-0.011206,0.009113,0.916979,-1.200631,-0.124867,0.519225
-0.495335,-0.135394,0.801979,-0.021515,-0.019715,0.055097,0.998054,-0.064470,0.086924,0.308997,0.132539,-0.244126,-0.000904,0.007665,-0.033413,-0.134008,0.226558,0.078904,-0.016756,-0.229696,-0.020564,0.137549,-0.049461,0.338270,0.081769,1.369928,1.010329,0.300540,-0.592834,-0.159106,-0.006355,0.031967,0.895320,-1.155099,-0.128171,0.563176
-0.517071,-0.146672,0.801452,-0.027944,-0.022783,0.049654,0.998115,-0.080194,0.117593,0.316913,0.117524,-0.235013,-0.007447,0.050826,-0.035719,-0.127930,0.370296,0.051121,-0.026184,-0.227251,-0.004537,0.136370,-0.024341,0.337425,0.088998,1.377126,1.033541,0.307262,-0.597434,-0.183894,-0.001358,0.056734,0.888202,-1.117176,-0.134981,0.598845
-0.539857,-0.157591,0.795937,-0.026589,-0.026556,0.044229,0.998314,-0.097945,0.128642,0.322406,0.108547,-0.226422,-0.010385,0.111394,-0.036325,-0.090600,0.424433,0.038404,-0.021483,-0.218850,-0.004861,0.132325,-0.007182,0.338938,0.106947,1.380524,1.036793,0.313852,-0.592106,-0.201783,0.003735,0.077435,0.882053,-1.097073,-0.143105,0.628846
-0.564506,-0.167464,0.789194,-0.022189,-0.028506,0.035948,0.998701,-0.123319,0.131176,0.326355,0.104111,-0.218913,-0.010509,0.185971,-0.032313,-0.038975,0.391617,0.043678,-0.012593,-0.204872,-0.007698,0.125819,0.001713,0.334950,0.133686,1.374728,1.019597,0.317278,-0.581280,-0.219178,0.005664,0.099661,0.872733,-1.087366,-0.150711,0.662884
-0.594330,-0.178419,0.783582,-0.014400,-0.025464,0.023157,0.999304,-0.165717,0.130159,0.336287,0.101274,-0.211284,-0.007507,0.263126,-0.034502,0.011665,0.281869,0.062918,-0.010082,-0.184037,-0.014666,0.114561,-0.002281,0.328176,0.164073,1.362405,0.988573,0.315845,-0.569223,-0.243990,0.007666,0.118346,0.871756,-1.086320,-0.171156,0.701609
-0.613814,-0.186808,0.786359,-0.008141,-0.021718,0.013939,0.999634,-0.197640,0.132954,0.350761,0.103069,-0.210275,-0.004135,0.298078,-0.038646,0.043432,0.211940,0.070763,-0.010170,-0.168503,-0.021047,0.107063,-0.018587,0.324139,0.188569,1.346765,0.944287,0.301942,-0.551913,-0.272137,0.010400,0.131652,0.878104,-1.088559,-0.189621,0.728774
-0.645774,-0.203207,0.792365,0.002279,-0.014164,0.002279,0.999894,-0.254247,0.144244,0.380415,0.107173,-0.208954,0.003925,0.309079,-0.031379,0.098357,0.143880,0.047313,-0.008232,-0.146534,-0.036498,0.099711,-0.053429,0.324085,0.210396,1.330044,0.924603,0.289272,-0.547595,-0.310047,0.014880,0.136749,0.892674,-1.105172,-0.206863,0.743782
