0.018402,-0.010286,0.811197,-0.004947,0.061110,0.807723,0.586365,0.109671,0.231946,0.619166,0.193617,0.056630,-0.081263,-0.034186,-0.352436,-0.779576,0.076311,-0.008381,0.118847,0.055509,0.052253,0.103931,0.110813,0.680360,-0.485931,0.496110,0.157782,-0.096298,-0.157810,-0.187264,-0.981943,0.692314,0.294713,-0.420020,-0.165971,0.263006
0.027107,0.005655,0.812725,-0.001456,0.057754,0.810310,0.583147,0.071216,0.244321,0.558066,0.258415,0.065647,-0.073607,0.012648,-0.320210,-0.803814,0.047872,-0.034740,0.119593,0.017832,0.122551,0.106985,0.067115,0.576453,-0.549859,0.658303,0.152912,-0.143826,-0.155182,-0.190252,-1.054548,0.702123,0.356720,-0.425801,-0.219255,0.232546
0.038492,0.018492,0.814093,0.004607,0.059150,0.798969,0.598438,0.054968,0.230615,0.546589,0.279637,0.053760,-0.058169,0.025350,-0.297918,-0.775792,0.037445,-0.058935,0.118120,0.020351,0.136502,0.115802,0.085676,0.550528,-0.554494,0.728115,0.165926,-0.143599,-0.163514,-0.194150,-1.086982,0.686709,0.380288,-0.423560,-0.225264,0.227586
0.050142,0.027932,0.815498,0.011999,0.058598,0.782180,0.620174,0.035032,0.208188,0.524270,0.289039,0.042997,-0.046858,0.031198,-0.277137,-0.731962,0.033329,-0.073712,0.117242,0.028284,0.145547,0.133176,0.112921,0.532158,-0.552781,0.785443,0.187987,-0.141861,-0.175346,-0.198663,-1.106261,0.661866,0.420117,-0.425109,-0.218144,0.213522
0.062901,0.037622,0.816727,0.019749,0.057174,0.762652,0.643974,0.005353,0.181246,0.491441,0.284772,0.029698,-0.038258,0.038839,-0.253552,-0.677101,0.027966,-0.084816,0.117864,0.047597,0.153218,0.151336,0.140573,0.513219,-0.541934,0.833660,0.208830,-0.140509,-0.178053,-0.203638,-1.110631,0.626549,0.485619,-0.417060,-0.202035,0.186972
0.077585,0.051426,0.817620,0.025424,0.055516,0.739984,0.669848,-0.031072,0.153726,0.447178,0.269973,0.018473,-0.027749,0.051033,-0.221806,-0.613442,0.018111,-0.094456,0.114293,0.068951,0.161925,0.168335,0.166103,0.490968,-0.533741,0.883538,0.233017,-0.139996,-0.172666,-0.209911,-1.087996,0.577326,0.577031,-0.394850,-0.176866,0.145200
0.089841,0.059985,0.817984,0.030201,0.052138,0.717583,0.693861,-0.068417,0.132428,0.397293,0.249387,0.012388,-0.017802,0.061423,-0.192450,-0.551641,0.007401,-0.096468,0.106069,0.091457,0.167596,0.185281,0.180171,0.469361,-0.531858,0.930848,0.260706,-0.144500,-0.160807,-0.218136,-1.037946,0.515910,0.691635,-0.368218,-0.149256,0.079416
0.103756,0.070632,0.817849,0.032858,0.049093,0.694916,0.716660,-0.098116,0.116387,0.359226,0.224656,0.004430,-0.006321,0.073801,-0.160028,-0.490590,-0.002494,-0.098272,0.096576,0.105587,0.169487,0.200093,0.186771,0.444111,-0.542574,0.973425,0.295715,-0.147422,-0.139988,-0.235902,-0.956024,0.440946,0.826986,-0.337717,-0.113153,-0.007016
0.112134,0.076541,0.817015,0.035724,0.044244,0.675688,0.734991,-0.127719,0.107385,0.327035,0.211901,0.006971,-0.005194,0.087415,-0.136093,-0.436355,-0.012202,-0.101375,0.088897,0.127222,0.163855,0.216857,0.180113,0.430789,-0.548419,1.003259,0.304011,-0.148941,-0.125157,-0.250826,-0.895512,0.402139,0.909605,-0.308065,-0.102500,-0.063470
0.121625,0.086506,0.815422,0.035352,0.037904,0.652283,0.756201,-0.158513,0.100066,0.294055,0.184934,0.013885,-0.004030,0.102192,-0.104633,-0.374444,-0.015754,-0.108467,0.077408,0.132215,0.163190,0.233400,0.169176,0.401955,-0.543243,1.028376,0.291771,-0.149844,-0.112010,-0.266516,-0.813482,0.339593,0.987975,-0.252467,-0.087789,-0.130148
